filename, concept, elCounter, elELapsedTimeInMilliseconds, elkCounter, elkELapsedTimeInMilliseconds, hermitCounter, hermitELapsedTimeInMilliseconds
cto.clinical-trials-ontology.1.owl.xml, Clinical_trial_design, 8,  7,8,  12,  8, 12
cto.clinical-trials-ontology.1.owl.xml, Events, 11,  8,11,  7,  11, 13
cto.clinical-trials-ontology.1.owl.xml, Study_Objective, 9,  7,9,  7,  9, 9
cto.clinical-trials-ontology.1.owl.xml, Agreement_to_perform_oversight, 14,  7,14,  6,  14, 13
cto.clinical-trials-ontology.1.owl.xml, Investigator_assigns_intervention, 11,  7,11,  6,  11, 9
cto.clinical-trials-ontology.1.owl.xml, Data_Management_and_Quality_Assurance, 8,  9,8,  6,  8, 6
cto.clinical-trials-ontology.1.owl.xml, Study_phases, 7,  7,7,  5,  7, 12
cto.clinical-trials-ontology.1.owl.xml, Outpatient, 12,  9,12,  5,  12, 6
cto.clinical-trials-ontology.1.owl.xml, Comparator, 9,  7,9,  5,  9, 6
cto.clinical-trials-ontology.1.owl.xml, Evaluated_Result, 8,  7,8,  4,  8, 6
cto.clinical-trials-ontology.1.owl.xml, Hallucination, 12,  6,12,  5,  12, 11
cto.clinical-trials-ontology.1.owl.xml, Last_verified_date, 9,  6,9,  5,  9, 10
cto.clinical-trials-ontology.1.owl.xml, Phase_III, 8,  6,8,  6,  8, 7
cto.clinical-trials-ontology.1.owl.xml, /h, 10,  7,10,  5,  10, 9
cto.clinical-trials-ontology.1.owl.xml, CSF_total_tau_level, 10,  7,10,  5,  10, 12
cto.clinical-trials-ontology.1.owl.xml, Pilot_Trials, 9,  6,9,  5,  9, 7
cto.clinical-trials-ontology.1.owl.xml, Assessment_Scale-cognitive_subscale, 8,  6,8,  6,  8, 8
cto.clinical-trials-ontology.1.owl.xml, Recruitment_criteria, 9,  6,9,  4,  9, 8
cto.clinical-trials-ontology.1.owl.xml, Retrospective_study, 5,  6,5,  8,  5, 9
cto.clinical-trials-ontology.1.owl.xml, Dizziness, 12,  6,12,  4,  12, 6
cto.clinical-trials-ontology.1.owl.xml, Estimated_Enrollment, 9,  6,9,  6,  9, 7
cto.clinical-trials-ontology.1.owl.xml, Primary_purpose, 10,  8,10,  7,  10, 14
cto.clinical-trials-ontology.1.owl.xml, Disease_outcome, 8,  8,8,  6,  8, 27
cto.clinical-trials-ontology.1.owl.xml, Attention_test, 9,  6,9,  5,  9, 7
cto.clinical-trials-ontology.1.owl.xml, Physical_Readouts, 8,  6,8,  4,  8, 8
cto.clinical-trials-ontology.1.owl.xml, 18-69_years, 12,  6,12,  4,  12, 6
cto.clinical-trials-ontology.1.owl.xml, Water_consumption, 11,  6,11,  7,  11, 12
cto.clinical-trials-ontology.1.owl.xml, Temporarily_not_available_for_expanded_access, 11,  6,11,  3,  11, 6
cto.clinical-trials-ontology.1.owl.xml, Cognitive_tests, 9,  5,9,  4,  9, 7
cto.clinical-trials-ontology.1.owl.xml, Crossover_study_design, 7,  8,7,  4,  7, 8
cto.clinical-trials-ontology.1.owl.xml, Statistical_significance, 9,  6,9,  4,  9, 9
cto.clinical-trials-ontology.1.owl.xml, CSF, 10,  7,10,  7,  10, 7
cto.clinical-trials-ontology.1.owl.xml, Treatment, 11,  6,11,  4,  11, 8
cto.clinical-trials-ontology.1.owl.xml, Agreement_to_perform_study_laboratory_processing, 14,  6,14,  4,  14, 7
cto.clinical-trials-ontology.1.owl.xml, Friedreich's_ataxia, 10,  6,10,  4,  10, 7
cto.clinical-trials-ontology.1.owl.xml, Placebo_comparator, 10,  6,10,  3,  10, 6
cto.clinical-trials-ontology.1.owl.xml, Uncontrolled, 11,  8,11,  4,  11, 10
cto.clinical-trials-ontology.1.owl.xml, Renal, 12,  6,12,  4,  12, 6
cto.clinical-trials-ontology.1.owl.xml, Safety_of_the_treatment, 11,  6,11,  4,  11, 6
cto.clinical-trials-ontology.1.owl.xml, Recruitment_active, 11,  6,11,  3,  11, 8
cto.clinical-trials-ontology.1.owl.xml, N-of-1_clinical_trial, 8,  6,8,  4,  8, 7
cto.clinical-trials-ontology.1.owl.xml, Cross-over_design, 9,  6,9,  4,  9, 11
cto.clinical-trials-ontology.1.owl.xml, Diagnostic, 11,  7,11,  4,  11, 7
cto.clinical-trials-ontology.1.owl.xml, Exploratory_Clinical_Trials, 9,  8,9,  4,  9, 9
cto.clinical-trials-ontology.1.owl.xml, Agreement_to_perform, 13,  7,13,  3,  13, 6
cto.clinical-trials-ontology.1.owl.xml, Epworth_Sleepiness_Scale, 8,  6,8,  4,  8, 7
cto.clinical-trials-ontology.1.owl.xml, Urine, 12,  6,12,  3,  12, 8
cto.clinical-trials-ontology.1.owl.xml, CSF_concentrations, 11,  6,11,  3,  11, 6
cto.clinical-trials-ontology.1.owl.xml, Clinical_trial_operation, 8,  6,8,  3,  8, 6
cto.clinical-trials-ontology.1.owl.xml, CSF_Alpha_beta_42_level, 10,  9,10,  3,  10, 6
